protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN4416_c0_g1_i5.p1_Eve;NODE_6332_length_3648_cov_337.975549_g3786_i0.p1_Eve;NODE_6845_length_3416_cov_372.475497_g3379_i1.p1_Gla;TRINITY_DN1025_c0_g1_i14.p1_Gla;NODE_54158_length_1110_cov_196.853911_g3786_i4.p1_Eve;TRINITY_DN55140_c0_g1_i1.p1_Gla	Aats-thr	PREDICTED: threonine--tRNA ligase, cytoplasmic-like	Aats-thr	Aats-thr:6	PREDICTED: threonine--tRNA ligase, cytoplasmic-like:5;threonine--tRNA cytoplasmic isoform X2:1	Diptera;Hymenoptera;Insecta	Rotifera;Arthropoda	Aats-thr	Aats-thr
TRINITY_DN13343_c0_g1_i8.p1_Eve;TRINITY_DN21132_c0_g2_i1.p1_Ecy;NODE_6335_length_3648_cov_16.199222_g3788_i0.p1_Eve	PHKA2	PREDICTED: LOW QUALITY PROTEIN: probable phosphorylase b kinase regulatory subunit alpha	PHKA2	PHKA2:1	PREDICTED: LOW QUALITY PROTEIN: probable phosphorylase b kinase regulatory subunit alpha:2;Glycoside hydrolase family 15/Phosphorylase b kinase regulatory chain family:1	Hymenoptera	Arthropoda	PHKA2	PHKA2
NODE_63856_length_986_cov_954.517609_g11488_i3.p1_Eve;TRINITY_DN9102_c0_g1_i7.p1_Eve;NODE_69873_length_1021_cov_1062.501029_g22346_i3.p1_Gla;TRINITY_DN7825_c0_g2_i4.p1_Gla;NODE_40680_length_1462_cov_741.341826_g22346_i1.p1_Gla;NODE_19198_length_2116_cov_421.359942_g11488_i1.p1_Eve;NODE_18272_length_2176_cov_411.076164_g11488_i0.p1_Eve;TRINITY_DN13131_c0_g1_i5.p1_Ecy	Cpap3-d2	Chitin binding domain	Cpap3-d2	Cpap3-d2:1	Chitin binding domain:3	Arthropoda	Arthropoda	Cpap3-d2	Cpap3-d2
NODE_64324_length_822_cov_5.389392_g44164_i0.p1_Ecy;TRINITY_DN20881_c0_g1_i4.p2_Ecy;TRINITY_DN79351_c0_g1_i4.p1_Ecy;NODE_85623_length_873_cov_141.314320_g67598_i0.p1_Gla;TRINITY_DN1119_c0_g1_i9.p1_Eve;TRINITY_DN404559_c0_g1_i1.p1_Gla;TRINITY_DN1119_c0_g1_i6.p1_Eve;TRINITY_DN1119_c0_g1_i1.p1_Eve	RpL8	PREDICTED: LOW QUALITY PROTEIN: 60S ribosomal protein L8-like	RpL8	RpL8:4;RPL8:4	PREDICTED: LOW QUALITY PROTEIN: 60S ribosomal protein L8-like:4;EOG090X0A8G:3;60S ribosomal protein L8-like:1	Ciliophora;Nematocera	Arthropoda	RpL8	RpL8
NODE_644_length_7898_cov_89.479042_g401_i0.p1_Ecy;NODE_2732_length_5052_cov_66.310614_g1627_i0.p1_Eve;TRINITY_DN19433_c0_g1_i7.p1_Gla;NODE_225_length_8939_cov_35.537908_g157_i0.p1_Gla;NODE_10411_length_2993_cov_39.011549_g401_i2.p1_Ecy;NODE_63097_length_995_cov_16.873150_g45714_i0.p1_Eve;TRINITY_DN42471_c0_g1_i2.p1_Eve;TRINITY_DN9259_c0_g1_i8.p1_Gla	*	neuroglian-like isoform X3	neuroglian-like isoform X3		neuroglian-like isoform X2:1;neuroglian-like isoform X3:2;putative Neuroglian precursor:1		Arthropoda	Nrg	Nrg
NODE_6440_length_3770_cov_333.070142_g3773_i0.p1_Ecy;TRINITY_DN4600_c0_g1_i24.p1_Eve;NODE_6141_length_3564_cov_157.141679_g4015_i0.p1_Gla	RnrS	PREDICTED: LOW QUALITY PROTEIN: ribonucleoside-diphosphate reductase subunit M2 B-like	RnrS	RnrS:3	PREDICTED: LOW QUALITY PROTEIN: ribonucleoside-diphosphate reductase subunit M2 B-like:3	Insecta	Arthropoda	RnrS	RnrS
NODE_6465_length_3611_cov_810.266704_g3867_i0.p1_Eve;NODE_15922_length_2343_cov_544.092415_g3867_i2.p1_Eve;TRINITY_DN3514_c0_g1_i11.p1_Ecy;TRINITY_DN3514_c0_g1_i2.p1_Ecy;NODE_6247_length_3817_cov_427.933652_g3662_i0.p1_Ecy;TRINITY_DN3514_c0_g1_i3.p1_Ecy;TRINITY_DN1620_c0_g1_i2.p1_Gla;NODE_6337_length_3528_cov_368.618856_g4142_i0.p1_Gla	*	PREDICTED: mucin-5AC-like, partial	PREDICTED: mucin-5AC-like, partial		PREDICTED: mucin-5AC-like, partial:8		Arthropoda	MUC5AC	MUC5AC
NODE_6487_length_3606_cov_1572.315153_g3879_i0.p1_Eve;NODE_6685_length_3561_cov_1572.851082_g3879_i2.p1_Eve;NODE_4833_length_3896_cov_685.532883_g3145_i0.p1_Gla;TRINITY_DN1164_c0_g1_i15.p1_Ecy;TRINITY_DN2131_c0_g1_i10.p1_Gla;NODE_17833_length_2213_cov_937.618299_g4645_i5.p1_Ecy;TRINITY_DN1164_c0_g1_i3.p1_Ecy;NODE_45839_length_1245_cov_640.686455_g3879_i4.p1_Eve;NODE_35230_length_1371_cov_526.400151_g4645_i7.p1_Ecy;TRINITY_DN4219_c0_g1_i6.p1_Gla;NODE_34949_length_1598_cov_14.149128_g25193_i0.p1_Gla;TRINITY_DN4219_c0_g1_i1.p1_Gla;TRINITY_DN4219_c0_g1_i3.p1_Gla;NODE_15088_length_2449_cov_127.885833_g10269_i0.p1_Gla;NODE_15893_length_2367_cov_7.509922_g9369_i0.p1_Ecy;TRINITY_DN110459_c0_g1_i2.p1_Eve;NODE_52567_length_1134_cov_6.800000_g36914_i0.p1_Eve;TRINITY_DN4219_c0_g1_i9.p1_Gla	Gfat1	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X2	Gfat1	Gfat1:10;GFPT1:6;GFPT2:2	Glucosamine-fructose-6-phosphate aminotransferase isomerising:6;glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X4:1;glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X5:1;glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X9:1;glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X2:7	Bilateria;Actinopterygii;Arthropoda;Nematocera	Rotifera;Arthropoda	Gfat1	Gfat1
NODE_65078_length_813_cov_346.756545_g44812_i0.p1_Ecy;TRINITY_DN2184_c0_g1_i2.p1_Gla	*	putative heterogeneous nuclear ribonucleoprotein A1, A2/B1-like isoform X1	putative heterogeneous nuclear ribonucleoprotein A1, A2/B1-like isoform X1		putative heterogeneous nuclear ribonucleoprotein A1, A2/B1-like isoform X1:2		Arthropoda	HNRNPA2B1	HNRNPA2B1
NODE_65198_length_972_cov_4571.192849_g47513_i0.p1_Eve;TRINITY_DN135056_c0_g1_i2.p1_Eve;NODE_43793_length_1151_cov_11725.863884_g27816_i0.p1_Ecy;TRINITY_DN23553_c0_g1_i5.p1_Gla;NODE_33280_length_1641_cov_6691.342337_g23892_i0.p1_Gla	*	PREDICTED: uncharacterized protein LOC108665208	PREDICTED: uncharacterized protein LOC108665208		PREDICTED: uncharacterized protein LOC108665208:5		Arthropoda	*	PREDICTED: uncharacterized protein LOC108665208
NODE_65284_length_811_cov_7.734908_g44980_i0.p1_Ecy;TRINITY_DN16010_c3_g1_i1.p1_Gla	*	RecName: Full=Late histone H2A.1	RecName: Full=Late histone H2A.1		RecName: Full=Late histone H2A.1:1		Echinodermata	H2AC11	H2AC11
NODE_653_length_7390_cov_286.042365_g398_i0.p1_Eve;NODE_13381_length_2608_cov_527.400938_g1_i13.p1_Ecy;NODE_25121_length_1911_cov_134.852309_g3_i8.p1_Gla	bt	PREDICTED: twitchin-like isoform X13	bt	bt:3	PREDICTED: twitchin-like isoform X13:3	Hymenoptera	Arthropoda	bt	bt
NODE_65323_length_810_cov_4628.134034_g561_i28.p2_Ecy	Mhc	Myosin tail	Mhc	Mhc:1	Myosin tail:1	Insecta	Arthropoda	Mhc	Mhc
TRINITY_DN54926_c0_g1_i6.p1_Eve;NODE_6545_length_3594_cov_48.142454_g3922_i0.p1_Eve	*	Oplophorus-luciferin 2-monooxygenase non-catalytic subunit	Oplophorus-luciferin 2-monooxygenase non-catalytic subunit		Oplophorus-luciferin 2-monooxygenase non-catalytic subunit:2		N/A	*	Oplophorus-luciferin 2-monooxygenase non-catalytic subunit
NODE_65771_length_805_cov_1232.030423_g45401_i0.p1_Ecy	*	PREDICTED: glutathione S-transferase Mu 2-like isoform X1	PREDICTED: glutathione S-transferase Mu 2-like isoform X1		PREDICTED: glutathione S-transferase Mu 2-like isoform X1:1		Arthropoda	Gstm2	Gstm2
NODE_6583_length_3731_cov_371.639326_g3860_i0.p1_Ecy	Aats-thr	PREDICTED: threonine--tRNA ligase, cytoplasmic-like	Aats-thr	Aats-thr:1	PREDICTED: threonine--tRNA ligase, cytoplasmic-like:1	Insecta	Arthropoda	Aats-thr	Aats-thr
NODE_6586_length_3582_cov_815.633456_g3949_i0.p1_Eve;TRINITY_DN52_c0_g1_i16.p1_Eve;TRINITY_DN2393_c0_g1_i3.p1_Ecy;TRINITY_DN540_c0_g1_i15.p1_Gla;TRINITY_DN540_c0_g1_i6.p1_Gla	Gel	PREDICTED: LOW QUALITY PROTEIN: gelsolin, cytoplasmic-like	Gel	Gel:1	Gelsolin-like domain:1;PREDICTED: LOW QUALITY PROTEIN: gelsolin, cytoplasmic-like:4	Arthropoda	Arthropoda	Gel	Gel
NODE_65871_length_965_cov_59.259825_g11943_i1.p1_Eve;TRINITY_DN3926_c0_g1_i15.p1_Eve;TRINITY_DN3926_c0_g1_i6.p1_Eve	*	PREDICTED: alpha-N-acetylgalactosaminidase-like	PREDICTED: alpha-N-acetylgalactosaminidase-like		PREDICTED: alpha-N-acetylgalactosaminidase-like:3		Arthropoda	NAGA	NAGA
NODE_6628_length_3574_cov_3989.974184_g3041_i3.p1_Eve;TRINITY_DN10907_c0_g1_i1.p1_Gla;NODE_4447_length_4371_cov_7020.370893_g2609_i0.p1_Ecy	*	hypothetical protein C7M84_017485	hypothetical protein C7M84_017485		hypothetical protein C7M84_017485:3		Arthropoda	*	hypothetical protein C7M84_017485
TRINITY_DN10518_c0_g1_i2.p1_Eve;NODE_66299_length_799_cov_729.937333_g45853_i0.p1_Ecy;NODE_64797_length_816_cov_136.162973_g44573_i0.p2_Ecy;NODE_120600_length_654_cov_3.292562_g99745_i0.p2_Gla	HIST1H1A	PREDICTED: histone H1-delta-like	HIST1H1A	HIST1H1A:3	PREDICTED: histone H1-delta-like:4	Bilateria;Metazoa	Arthropoda	HIST1H1A	HIST1H1A
NODE_66329_length_1061_cov_5815.197628_g50819_i0.p1_Gla	*	hemocyanin subunit 1	hemocyanin subunit 1		hemocyanin subunit 1:1		Arthropoda	KLH1	KLH1
TRINITY_DN5089_c0_g1_i13.p1_Eve;NODE_665_length_7371_cov_69.249932_g405_i0.p1_Eve;TRINITY_DN5317_c0_g1_i7.p1_Ecy;NODE_3732_length_4675_cov_11.520104_g2231_i0.p1_Ecy;TRINITY_DN16692_c0_g1_i11.p1_Gla;TRINITY_DN178020_c0_g1_i3.p1_Gla;NODE_16544_length_2349_cov_29.104348_g11314_i0.p1_Gla;NODE_13473_length_2580_cov_10.414066_g9106_i0.p1_Gla	Ndg	PREDICTED: nidogen-2-like, partial	Ndg	Ndg:7;NID1:1	PREDICTED: nidogen-2-like, partial:4;EGF domain:4	Arthropoda;Paraneoptera;Hymenoptera;Insecta	Arthropoda	Ndg	Ndg
TRINITY_DN51015_c0_g1_i16.p1_Eve;NODE_6653_length_3568_cov_92.830918_g3987_i0.p1_Eve;TRINITY_DN89_c0_g2_i2.p1_Gla;TRINITY_DN4456_c1_g1_i1.p1_Ecy	OSTF1	PREDICTED: osteoclast-stimulating factor 1-like	OSTF1	OSTF1:2	PREDICTED: osteoclast-stimulating factor 1-like:4	Bilateria	Arthropoda	OSTF1	OSTF1
TRINITY_DN1971_c0_g2_i6.p1_Eve;NODE_6700_length_3559_cov_321.686895_g4021_i0.p2_Eve;TRINITY_DN14582_c0_g1_i1.p1_Ecy;NODE_42836_length_1171_cov_112.925134_g27116_i0.p1_Ecy	GALM	Aldose 1-epimerase	GALM	GALM:1;mro:1	Aldose 1-epimerase:4	Arthropoda;Cytophagia	N/A	GALM	GALM
NODE_67030_length_953_cov_329.890487_g23614_i1.p1_Eve;NODE_79518_length_839_cov_359.503797_g23614_i2.p1_Eve;TRINITY_DN7999_c1_g1_i2.p1_Eve	*	Serine proteases trypsin domain	Serine proteases trypsin domain		Serine proteases trypsin domain:1		Arthropoda	PRSS1	PRSS1
TRINITY_DN252_c3_g1_i1.p1_Eve;NODE_6705_length_3559_cov_55.354701_g4024_i0.p1_Eve;NODE_6822_length_3667_cov_44.491155_g4000_i0.p1_Ecy;TRINITY_DN4528_c0_g1_i6.p1_Gla;REV__TRINITY_DN4528_c0_g1_i6.p1_Gla;REV__TRINITY_DN252_c3_g1_i1.p1_Eve;REV__NODE_6822_length_3667_cov_44.491155_g4000_i0.p1_Ecy;REV__NODE_6705_length_3559_cov_55.354701_g4024_i0.p1_Eve	*	PREDICTED: 1,4-alpha-glucan-branching enzyme-like	PREDICTED: 1,4-alpha-glucan-branching enzyme-like		PREDICTED: 1,4-alpha-glucan-branching enzyme-like:2;Alpha-amylase/branching enzyme C-terminal all beta:2		Arthropoda	GBE1	GBE1
TRINITY_DN31806_c0_g1_i3.p1_Eve;NODE_67341_length_788_cov_3403.407307_g3452_i3.p1_Ecy;TRINITY_DN31806_c0_g1_i11.p1_Eve;TRINITY_DN34558_c0_g1_i18.p2_Gla;TRINITY_DN34558_c0_g1_i19.p2_Gla;NODE_71798_length_1001_cov_2261.023109_g10989_i2.p2_Gla;TRINITY_DN34558_c0_g1_i13.p2_Gla	*	PREDICTED: glycine-rich cell wall structural protein 1-like	PREDICTED: glycine-rich cell wall structural protein 1-like		PREDICTED: glycine-rich cell wall structural protein 1-like:7		Arthropoda	*	PREDICTED: glycine-rich cell wall structural protein 1-like
TRINITY_DN65929_c0_g2_i1.p1_Gla;NODE_6753_length_3683_cov_18.245735_g3961_i0.p1_Ecy;NODE_81399_length_825_cov_8.172680_g61652_i0.p1_Eve;NODE_123496_length_640_cov_4.037225_g102493_i0.p1_Gla;TRINITY_DN79693_c1_g1_i1.p1_Eve	*	Immunoglobulin I-set	Immunoglobulin I-set		PREDICTED: coiled-coil domain-containing protein 141-like:1;Immunoglobulin I-set:3;putative titin isoform X4:1		Arthropoda	*	Immunoglobulin I-set
NODE_67616_length_947_cov_206.915367_g49599_i0.p1_Eve;TRINITY_DN598_c0_g1_i1.p1_Eve;NODE_110461_length_705_cov_26.213415_g90187_i0.p1_Gla;NODE_43028_length_1415_cov_70.728404_g31585_i0.p1_Gla;NODE_108660_length_715_cov_10.701201_g88514_i0.p1_Gla;TRINITY_DN598_c0_g1_i16.p1_Eve;TRINITY_DN598_c0_g1_i11.p1_Eve;TRINITY_DN9267_c0_g2_i2.p1_Ecy;NODE_69526_length_929_cov_48.614773_g51231_i0.p1_Eve;TRINITY_DN19714_c0_g1_i4.p1_Gla;TRINITY_DN19714_c0_g1_i3.p1_Gla	RNF39	PREDICTED: zinc-binding protein A33-like	RNF39	RNF39:2	PREDICTED: zinc-binding protein A33-like:4;PREDICTED: E3 ubiquitin-protein ligase TRIM21-like:3;PREDICTED: programmed cell death 6-interacting protein-like:1;PREDICTED: RING finger protein 207-like isoform X1:2	Bilateria	Arthropoda	RNF39	RNF39
NODE_67713_length_946_cov_6206.216276_g36971_i1.p1_Eve	*	hemocyanin subunit 1	hemocyanin subunit 1		hemocyanin subunit 1:1		Arthropoda	KLH1	KLH1
NODE_68139_length_942_cov_904.222844_g9309_i17.p1_Eve;NODE_25965_length_1785_cov_360.491935_g9309_i5.p1_Eve;TRINITY_DN45134_c0_g1_i5.p1_Gla	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:3		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
TRINITY_DN9176_c0_g1_i15.p1_Eve;NODE_68257_length_941_cov_62.538117_g50151_i0.p1_Eve	*	PREDICTED: uncharacterized protein LOC108677394	PREDICTED: uncharacterized protein LOC108677394		PREDICTED: uncharacterized protein LOC108677394:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108677394
NODE_6827_length_3532_cov_441.186908_g4095_i0.p1_Eve	REEP5	TB2/DP1/HVA22-related protein	REEP5	REEP5:1	TB2/DP1/HVA22-related protein:1	Mammalia	Arthropoda	REEP5	REEP5
NODE_68747_length_936_cov_729.147689_g50563_i0.p1_Eve;NODE_32084_length_1474_cov_842.755088_g13208_i2.p3_Ecy;TRINITY_DN663_c1_g2_i6.p1_Ecy	*	Superoxide dismutase copper/zinc binding domain	Superoxide dismutase copper/zinc binding domain		Superoxide dismutase copper/zinc binding domain:2;PREDICTED: histidine-rich glycoprotein-like:1		Arthropoda	SOD1	SOD1
NODE_6876_length_3651_cov_259.657135_g4027_i0.p1_Ecy;TRINITY_DN5307_c0_g1_i1.p1_Gla	*	PREDICTED: charged multivesicular body protein 5-like	PREDICTED: charged multivesicular body protein 5-like		PREDICTED: charged multivesicular body protein 5-like:2		Arthropoda	*	PREDICTED: charged multivesicular body protein 5-like
NODE_68962_length_934_cov_414.344633_g50744_i0.p1_Eve	*	Tissue factor pathway inhibitor	Tissue factor pathway inhibitor		Tissue factor pathway inhibitor:1		Arthropoda	TFPI	TFPI
NODE_692_length_7744_cov_555.471995_g432_i0.p1_Ecy	*	PREDICTED: glycogen debranching enzyme-like isoform X2	PREDICTED: glycogen debranching enzyme-like isoform X2		PREDICTED: glycogen debranching enzyme-like isoform X2:1		Arthropoda	AGL	AGL
TRINITY_DN296624_c0_g1_i1.p1_Eve;NODE_69314_length_931_cov_19.308390_g51047_i0.p1_Eve	*	nesprin-1-like	nesprin-1-like		nesprin-1-like:1;Spectrin repeat:1		Arthropoda	SYNE1	SYNE1
TRINITY_DN45136_c0_g1_i18.p1_Eve;TRINITY_DN45136_c0_g1_i7.p1_Eve;TRINITY_DN16250_c5_g1_i4.p1_Ecy;TRINITY_DN45136_c0_g1_i5.p1_Eve;NODE_6933_length_3638_cov_50.555587_g4064_i0.p1_Ecy;TRINITY_DN18755_c2_g1_i3.p1_Gla	TSG101	PREDICTED: tumor susceptibility gene 101 protein-like isoform X1	TSG101	TSG101:6	PREDICTED: tumor susceptibility gene 101 protein-like isoform X3:1;PREDICTED: tumor susceptibility gene 101 protein-like isoform X2:1;PREDICTED: tumor susceptibility gene 101 protein-like isoform X1:3;Steadiness box (SB) domain:1	Drosophilidae	Arthropoda	TSG101	TSG101
TRINITY_DN1889_c2_g1_i4.p1_Ecy;TRINITY_DN9067_c0_g1_i2.p1_Gla;NODE_69456_length_1026_cov_1403.506653_g53469_i0.p1_Gla	PSMD8	PREDICTED: 26S proteasome non-ATPase regulatory subunit 8-like	PSMD8	PSMD8:2;Rpn12:1	PREDICTED: 26S proteasome non-ATPase regulatory subunit 8-like:3	Actinopterygii;Arthropoda	Arthropoda	PSMD8	PSMD8
NODE_6947_length_3506_cov_2381.647382_g4171_i0.p1_Eve;TRINITY_DN6610_c0_g1_i6.p1_Gla;NODE_114096_length_637_cov_3.134354_g91643_i0.p1_Eve;TRINITY_DN32792_c0_g3_i2.p1_Gla;NODE_33549_length_1634_cov_121.546372_g24085_i0.p1_Gla;NODE_106138_length_673_cov_9.746795_g84194_i0.p1_Eve;TRINITY_DN123230_c0_g1_i1.p1_Gla;TRINITY_DN47802_c0_g1_i4.p1_Gla;TRINITY_DN47802_c0_g1_i1.p1_Gla;TRINITY_DN46819_c0_g1_i3.p1_Eve;TRINITY_DN14162_c0_g1_i3.p1_Ecy;NODE_39618_length_1374_cov_62.318491_g26714_i0.p1_Eve	eIF-4a	PREDICTED: eukaryotic initiation factor 4A-III-like	eIF-4a	EIF4A2:1;eIF-4a:5;eIF4AIII:5;EIF4A3:1	eukaryotic initiation factor 4A, partial:1;Eukaryotic initiation factor 4A-II:1;PREDICTED: eukaryotic initiation factor 4A-I-like:1;Eukaryotic initiation factor 4A-II, partial:2;eukaryotic initiation factor 4A-III:1;PREDICTED: eukaryotic initiation factor 4A-III-like:4;Helicase C-terminal:1	Chordata;Arthropoda;Lepidoptera;Hymenoptera;Vertebrata;Insecta;Bilateria	N/A;Arthropoda;Priapulida	eIF-4a	eIF-4a
NODE_6957_length_3503_cov_189.236537_g4177_i0.p1_Eve;TRINITY_DN2616_c0_g2_i22.p1_Eve;NODE_12209_length_2747_cov_319.488139_g4352_i3.p1_Ecy;TRINITY_DN609_c0_g1_i9.p1_Ecy;NODE_2879_length_4648_cov_144.278974_g1865_i0.p2_Gla;TRINITY_DN6743_c0_g1_i14.p1_Gla;TRINITY_DN6743_c0_g1_i5.p1_Gla;TRINITY_DN6743_c0_g1_i1.p1_Gla	*	PREDICTED: nascent polypeptide-associated complex subunit alpha, muscle-specific form-like	PREDICTED: nascent polypeptide-associated complex subunit alpha, muscle-specific form-like		PREDICTED: nascent polypeptide-associated complex subunit alpha, muscle-specific form-like:6		Arthropoda	NACA	NACA
TRINITY_DN416_c0_g2_i5.p1_Ecy;NODE_696_length_7717_cov_5723.762520_g87_i5.p1_Ecy;NODE_136_length_10705_cov_3532.722598_g87_i0.p1_Ecy;NODE_449_length_8523_cov_3829.034458_g87_i2.p1_Ecy;NODE_18817_length_2142_cov_3985.382704_g87_i12.p1_Ecy;NODE_3182_length_4941_cov_4460.415168_g87_i7.p2_Ecy;NODE_452_length_8512_cov_1717.045728_g87_i3.p1_Ecy;NODE_24818_length_1780_cov_6707.674754_g87_i15.p1_Ecy;NODE_81982_length_904_cov_7.930994_g64369_i0.p1_Gla;TRINITY_DN59894_c0_g1_i2.p1_Ecy;NODE_32830_length_1449_cov_4.535714_g20060_i0.p1_Ecy	Vg	PREDICTED: hemolymph clottable protein-like isoform X1	Vg	Vg:2;KCP:2	PREDICTED: hemolymph clottable protein-like isoform X1:5;PREDICTED: hemolymph clottable protein-like isoform X2:5;von Willebrand factor type D domain:1	Actinopterygii;Paraneoptera	Arthropoda	Vg	Vg
NODE_6986_length_3625_cov_445.429530_g4090_i0.p1_Ecy	PPO1	PREDICTED: LOW QUALITY PROTEIN: phenoloxidase 2-like	PPO1	PPO1:1	PREDICTED: LOW QUALITY PROTEIN: phenoloxidase 2-like:1	Drosophilidae	Arthropoda	PPO1	PPO1
NODE_6994_length_3495_cov_288.579222_g4203_i0.p1_Eve;TRINITY_DN53307_c0_g1_i12.p1_Ecy;NODE_10270_length_3011_cov_608.247468_g5027_i1.p1_Ecy;TRINITY_DN1728_c1_g1_i3.p1_Gla;NODE_55227_length_942_cov_366.473684_g5027_i2.p1_Ecy	PGM3	Alpha-D-phosphohexomutase C-terminal	PGM3	PGM3:1	Alpha-D-phosphohexomutase C-terminal:3;PREDICTED: phosphoacetylglucosamine mutase-like:2	Insecta	Arthropoda	PGM3	PGM3
TRINITY_DN4521_c0_g1_i6.p1_Eve;NODE_6996_length_3623_cov_34.857583_g4095_i0.p1_Ecy;TRINITY_DN16698_c0_g1_i10.p1_Ecy;NODE_13212_length_2601_cov_54.430251_g8920_i0.p1_Gla;TRINITY_DN10330_c0_g1_i4.p1_Gla	*	PREDICTED: plasma kallikrein-like	PREDICTED: plasma kallikrein-like		PREDICTED: plasma kallikrein-like:3;Serine proteases trypsin domain:2		Arthropoda	KLKB1	KLKB1
TRINITY_DN88604_c0_g1_i3.p1_Eve;TRINITY_DN88604_c0_g1_i5.p1_Eve;TRINITY_DN88604_c0_g1_i1.p1_Eve;NODE_7_length_16806_cov_189.779973_g4_i0.p1_Eve;NODE_16_length_17158_cov_259.724472_g10_i0.p1_Ecy;NODE_14396_length_2506_cov_66.937729_g10_i2.p1_Ecy;NODE_10_length_16141_cov_153.581220_g7_i0.p1_Gla;NODE_7846_length_3243_cov_49.273012_g5180_i0.p1_Gla;TRINITY_DN3117_c0_g1_i2.p1_Ecy;NODE_22737_length_2009_cov_54.299490_g15917_i0.p1_Gla;NODE_19219_length_2186_cov_35.966776_g13256_i0.p1_Gla;TRINITY_DN44008_c0_g1_i1.p1_Gla;TRINITY_DN9929_c0_g1_i1.p1_Eve;NODE_7292_length_3435_cov_502.397815_g4380_i0.p1_Eve;TRINITY_DN79266_c0_g1_i3.p1_Gla;TRINITY_DN2573_c0_g1_i8.p1_Ecy;TRINITY_DN1546_c0_g2_i2.p1_Eve;TRINITY_DN7323_c3_g1_i1.p1_Gla;TRINITY_DN26994_c0_g1_i4.p1_Gla;TRINITY_DN251007_c0_g1_i2.p1_Ecy;TRINITY_DN5794_c0_g1_i5.p1_Eve;TRINITY_DN5794_c0_g1_i6.p1_Eve;NODE_4768_length_4259_cov_741.397150_g2005_i2.p1_Ecy;TRINITY_DN1477_c0_g1_i6.p1_Gla;TRINITY_DN2573_c0_g1_i5.p1_Ecy;NODE_8113_length_3271_cov_228.402855_g4886_i0.p1_Eve;NODE_32413_length_1667_cov_9.469716_g23232_i0.p1_Gla;TRINITY_DN1471_c0_g1_i1.p1_Ecy;TRINITY_DN1471_c0_g1_i5.p1_Ecy;TRINITY_DN5794_c0_g1_i3.p1_Eve;TRINITY_DN1477_c0_g1_i8.p1_Gla;NODE_14844_length_2433_cov_498.393876_g4886_i2.p1_Eve;NODE_20472_length_2043_cov_375.816951_g4380_i1.p1_Eve;NODE_12371_length_2676_cov_1379.720594_g7435_i1.p1_Gla;NODE_11301_length_2861_cov_1858.827169_g2005_i5.p1_Ecy;NODE_8453_length_3145_cov_37.863049_g5601_i0.p1_Gla	bel	PREDICTED: ATP-dependent RNA helicase DDX3X-like isoform X1	bel	bel:10;DDX17:5;DDX5:2;DDX3X:1	PREDICTED: ATP-dependent RNA helicase DDX3X-like isoform X1:7;PL10-like protein:2;PREDICTED: DEAD-box ATP-dependent RNA helicase 20-like:3;DEAD/DEAH box helicase domain:3;PREDICTED: ATP-dependent RNA helicase dbp2-like:4;putative ATP-dependent RNA helicase DDX5:1;PREDICTED: ATP-dependent RNA helicase dbp2-like isoform X1:3;probable ATP-dependent RNA helicase DDX5:1;PL10, partial:1;Helicase C-terminal:1;PREDICTED: probable ATP-dependent RNA helicase DDX5 isoform X2:6;putative ATP-dependent RNA helicase DDX5-like:1;pl10:1	Actinopterygii;Arthropoda;Drosophilidae;Vertebrata;Insecta	Annelida;Arthropoda;Chordata;Mollusca	bel	bel
TRINITY_DN1474_c0_g1_i19.p1_Eve;NODE_7012_length_3491_cov_66.576990_g1462_i3.p1_Eve;TRINITY_DN17681_c0_g1_i3.p1_Ecy;TRINITY_DN2872_c0_g3_i1.p1_Gla;NODE_7001_length_3386_cov_45.244531_g4612_i0.p1_Gla	SUOX	PREDICTED: sulfite oxidase-like	SUOX	SUOX:1	PREDICTED: sulfite oxidase-like:5	Insecta	Arthropoda	SUOX	SUOX
